Country,Model,Total
Mexico,Model 1,143446
Mexico,Model 2,146406
Mexico,Model 3,135028
Mexico,Model 4,134052
Mexico,Model 5,158619
Mexico,Model 6,174534
Mexico,Model 7,170581
Mexico,Model 8,161858
Mexico,Model 9,156052
Mexico,Model 10,100325
China,Model 1,87016
China,Model 2,81784
China,Model 3,71798
China,Model 4,76089
China,Model 5,74558
China,Model 6,81772
China,Model 7,71565
China,Model 8,65214
China,Model 9,62248
China,Model 10,41483
India,Model 1,69013
India,Model 2,66434
India,Model 3,68458
India,Model 4,77908
India,Model 5,64116
India,Model 6,64687
India,Model 7,60394
India,Model 8,59821
India,Model 9,54495
India,Model 10,46363
Cuba,Model 1,36452
Cuba,Model 2,32820
Cuba,Model 3,32219
Cuba,Model 4,46679
Cuba,Model 5,54396
Cuba,Model 6,66516
Cuba,Model 7,65028
Cuba,Model 8,76486
Cuba,Model 9,41641
Cuba,Model 10,16367
Vietnam,Model 1,34157
Vietnam,Model 2,28304
Vietnam,Model 3,27101
Vietnam,Model 4,30283
Vietnam,Model 5,30832
Vietnam,Model 6,41451
Vietnam,Model 7,38231
Vietnam,Model 8,33834
Vietnam,Model 9,39712
Vietnam,Model 10,29995
El Salvador,Model 1,18667
El Salvador,Model 2,16256
El Salvador,Model 3,18260
El Salvador,Model 4,19273
El Salvador,Model 5,19487
El Salvador,Model 6,23449
El Salvador,Model 7,25109
El Salvador,Model 8,28326
El Salvador,Model 9,27656
El Salvador,Model 10,17907
South Korea,Model 1,22824
South Korea,Model 2,20846
South Korea,Model 3,23166
South Korea,Model 4,20423
South Korea,Model 5,17138
South Korea,Model 6,21801
South Korea,Model 7,19194
South Korea,Model 8,17676
South Korea,Model 9,18479
South Korea,Model 10,16244
Jamaica,Model 1,19662
Jamaica,Model 2,20705
Jamaica,Model 3,19400
Jamaica,Model 4,19026
Jamaica,Model 5,17642
Jamaica,Model 6,23350
Jamaica,Model 7,21905
Jamaica,Model 8,20347
Jamaica,Model 9,21689
Jamaica,Model 10,12826
Haiti,Model 1,22111
Haiti,Model 2,22818
Haiti,Model 3,20351
Haiti,Model 4,15274
Haiti,Model 5,16967
Haiti,Model 6,23584
Haiti,Model 7,21824
Haiti,Model 8,21360
Haiti,Model 9,17253
Haiti,Model 10,9338
Colombia,Model 1,22635
Colombia,Model 2,20931
Colombia,Model 3,21131
Colombia,Model 4,18175
Colombia,Model 5,17316
Colombia,Model 6,18610
Colombia,Model 7,17956
Colombia,Model 8,17545
Colombia,Model 9,19841
Colombia,Model 10,11989

